88, 338
97, 377
109, 413
121, 450
138, 483
162, 511
193, 535
229, 552
267, 553
305, 542
339, 519
367, 491
387, 458
397, 419
400, 378
404, 337
405, 296
100, 297
115, 277
141, 267
168, 267
195, 274
248, 263
275, 246
306, 237
337, 241
363, 257
227, 310
229, 334
231, 357
234, 381
216, 410
228, 412
241, 413
253, 407
265, 402
132, 331
148, 318
169, 315
189, 328
170, 336
148, 338
274, 316
290, 297
312, 293
333, 301
317, 313
295, 317
199, 471
214, 451
232, 439
246, 441
258, 436
280, 443
305, 456
285, 476
266, 486
252, 489
237, 489
219, 485
209, 470
234, 459
248, 458
261, 456
295, 457
262, 464
249, 467
235, 468
