347, 473
351, 521
365, 569
380, 616
399, 661
428, 700
468, 732
513, 756
565, 760
619, 749
666, 721
706, 682
734, 634
752, 579
756, 519
752, 460
742, 404
353, 408
368, 380
396, 367
429, 364
460, 372
526, 354
560, 333
598, 324
639, 326
676, 342
498, 413
501, 446
503, 479
506, 514
484, 554
502, 556
521, 556
542, 548
562, 541
386, 444
406, 425
431, 421
457, 438
434, 444
408, 449
568, 415
588, 390
615, 383
642, 394
622, 406
595, 412
466, 625
489, 608
513, 595
532, 599
553, 588
589, 593
632, 598
596, 628
565, 644
542, 650
521, 650
496, 642
479, 625
515, 622
535, 621
557, 615
619, 602
559, 615
537, 621
517, 621
