358, 605
356, 676
359, 752
375, 826
410, 889
458, 936
516, 975
583, 1002
651, 1009
713, 997
760, 959
802, 911
835, 856
855, 793
870, 732
880, 669
879, 606
444, 501
488, 479
538, 471
588, 476
632, 497
714, 502
754, 484
801, 482
843, 497
867, 533
678, 566
683, 606
690, 646
696, 687
630, 737
657, 744
682, 749
704, 746
724, 740
485, 576
519, 556
557, 558
592, 586
555, 591
516, 590
732, 594
764, 568
801, 570
829, 593
803, 604
765, 604
576, 846
621, 812
660, 795
683, 802
704, 795
730, 813
750, 851
728, 881
702, 893
679, 895
655, 892
618, 878
593, 843
658, 822
681, 824
702, 825
733, 847
702, 850
680, 852
657, 850
