127, 277
117, 315
113, 355
114, 393
123, 430
140, 465
162, 497
190, 525
221, 540
254, 540
284, 523
314, 501
341, 477
361, 450
379, 422
392, 391
399, 359
175, 259
204, 256
231, 264
254, 277
273, 294
316, 304
341, 302
363, 304
384, 312
396, 329
288, 333
282, 359
276, 386
270, 413
235, 421
247, 427
260, 434
274, 434
286, 434
191, 304
211, 302
230, 309
241, 327
224, 324
204, 317
319, 347
337, 336
355, 340
367, 351
353, 356
335, 354
202, 461
225, 456
244, 453
253, 459
266, 458
279, 469
289, 480
272, 494
257, 499
244, 498
233, 494
217, 483
209, 463
241, 468
250, 471
262, 473
281, 480
261, 477
249, 476
239, 473
